Job,Company,PotentialSatisfaction,PreferenceBased,FitBased,SalaryBased
Adviseur Waterkwaliteit,Wetterskip,8.6,0.526142,0.248007,0.22585
AI ML Engineer,Ilionx,8.6,0.527878,0.248825,0.223297
Analist Genoomdiagnostiek,UMCG,8.0,0.552549,0.357021,0.09043
Analist HLO kwaliteitszorg,UMCG,6.1,0.430931,0.368404,0.200665
Chemisch Analist,Teijin Aramid,6.5,0.648058,0.16433,0.187612
Data Analist,Gomibo,6.8,0.494038,0.32755,0.178412
Data Analist,Maandag,7.0,0.443566,0.316152,0.240282
Data Analyst,EasyToys,4.5,0.748831,0.028671,0.222498
Data Engineer,Sopra Steria,7.1,0.561899,0.311449,0.126652
Data Engineer,Springer Nature,6.5,0.64392,0.216906,0.139174
Data Scientist Team Cybercrime,Politie,8.1,0.647129,0.127775,0.225095
Data Scientist,Sopra Steria,6.7,0.534733,0.330761,0.134506
Functioneel Ontwerper,RDW,6.5,0.447118,0.3437,0.209181
Junior Test Engineer,DUO,7.0,0.411181,0.416657,0.172162
Kwaliteit en Servicemanagement,Duo,6.1,0.430931,0.368404,0.200665
ML Engineer,Springer Nature,6.7,0.653257,0.211219,0.135524
Python Software Engineer,CIMSOLUTIONS,5.9,0.528761,0.184324,0.286915
QA Engineer,CropX,6.0,0.608433,0.238523,0.153044
QA Engineer,SciSure,5.9,0.603047,0.247528,0.149425
Specialist Datatactiek Team Opsporing,Politie,6.9,0.713797,0.154507,0.131695
Statistisch Biologist,UMCG,7.6,0.464617,0.378845,0.156538
Young Track Data Analyst,Sogeti,6.1,0.53238,0.234681,0.232939
